# columns=frequency_hz equivalent_omega_gw
# conversion=2_pi_squared_f_squared_hc_squared_over_3_H0_squared
# source_file=CE.csv
1.130715961300866113e+01 3.997142569349525623e-11
1.137185505967653221e+01 3.866880185054890425e-11
1.143692067011344271e+01 3.741011267199508341e-11
1.150235856226159470e+01 3.620420996140359316e-11
1.156817086618126389e+01 3.505866916302477503e-11
1.163435972412015396e+01 3.397993975012810411e-11
1.170092729058314340e+01 3.297350730826665783e-11
1.176787573240240015e+01 3.204406325400045682e-11
1.183520722880790643e+01 3.119567928365388662e-11
1.190292397149840298e+01 3.043198479212028444e-11
1.197102816471275055e+01 2.975634662728801005e-11
1.203952202530163618e+01 2.917205165438250752e-11
1.210840778279978380e+01 2.868249371339095210e-11
1.217768767949847941e+01 2.829136769266341963e-11
1.224736397051860415e+01 2.800023855766555445e-11
1.231743892388400141e+01 2.776081446984247283e-11
1.238791482059532356e+01 2.755175448663366217e-11
1.245879395470428719e+01 2.737086992440871332e-11
1.253007863338833516e+01 2.721610221708287219e-11
1.260177117702573035e+01 2.708550520412720174e-11
1.267387391927108986e+01 2.697722916095629970e-11
1.274638920713137757e+01 2.688950638907514104e-11
1.281931940104224843e+01 2.682063821154189431e-11
1.289266687494491848e+01 2.676898324402712061e-11
1.296643401636343462e+01 2.673294683343868506e-11
1.304062322648239558e+01 2.671097157516988235e-11
1.311523692022508136e+01 2.670152883682620299e-11
1.319027752633208905e+01 2.670311123106018124e-11
1.326574748744040022e+01 2.671422599311183507e-11
1.334164926016285335e+01 2.673338922997481143e-11
1.341798531516815096e+01 2.675912101790246619e-11
1.349475813726123974e+01 2.678994133336664715e-11
1.357197022546423781e+01 2.682436680959528673e-11
1.364962409309774038e+01 2.686090831653306481e-11
1.372772226786264582e+01 2.689806936647497316e-11
1.380626729192244717e+01 2.693434535078181207e-11
1.388526172198597308e+01 2.696822361488458241e-11
1.396470812939059591e+01 2.699818437937149452e-11
1.404460910018594078e+01 2.702270251412279406e-11
1.412496723521808661e+01 2.704025017037553462e-11
1.420578515021418120e+01 2.704930027210702347e-11
1.428706547586763520e+01 2.704833086333825568e-11
1.436881085792369994e+01 2.703583030176641319e-11
1.445102395726564737e+01 2.701030328171114936e-11
1.453370745000133013e+01 2.697027766058679902e-11
1.461686402755031722e+01 2.691431205320386138e-11
1.470049639673151098e+01 2.684100414719607826e-11
1.478460727985124734e+01 2.674899968086237101e-11
1.486919941479189333e+01 2.663700201197133833e-11
1.495427555510097584e+01 2.650378219268778280e-11
1.503983847008084673e+01 2.634818945206822772e-11
1.512589094487876196e+01 2.616916197376945602e-11
1.521243578057760715e+01 2.596573784300781518e-11
1.529947579428701054e+01 2.573660428451201326e-11
1.538701381923510958e+01 2.541245057584301938e-11
1.547505270486071360e+01 2.496281570863600187e-11
1.556359531690608655e+01 2.441503053302003739e-11
1.565264453751024476e+01 2.379592584496609867e-11
1.574220326530272374e+01 2.313100657397212353e-11
1.583227441549799153e+01 2.244388337964248557e-11
1.592286091999028308e+01 2.175594624754131091e-11
1.601396572744909363e+01 2.108625282264079300e-11
1.610559180341509844e+01 2.045159841011788554e-11
1.619774213039673327e+01 1.986673386572310230e-11
1.629041970796725636e+01 1.934470087857480143e-11
1.638362755286241068e+01 1.889726035696668718e-11
1.647736869907856772e+01 1.853539791194941312e-11
1.657164619797153193e+01 1.826990025725211950e-11
1.666646311835586758e+01 1.811200755195834029e-11
1.676182254660478321e+01 1.806438569740766955e-11
1.685772758675054206e+01 1.805037573733833712e-11
1.695418136058559710e+01 1.805003980894502975e-11
1.705118700776415963e+01 1.806252960874267864e-11
1.714874768590436815e+01 1.808702307829116785e-11
1.724686657069111106e+01 1.812271866170459454e-11
1.734554685597940349e+01 1.816883000736867377e-11
